event_name,user_pseudo_id,item_id,item_name
select_item,1FA401B9286441CFB640EDFF142609D4,1498,Salad by  Kulina x Sayur Box  Lunch
add_to_cart,1FA401B9286441CFB640EDFF142609D4,1498,Salad by  Kulina x Sayur Box  Lunch
add_to_cart,1FA401B9286441CFB640EDFF142609D4,1498,Salad by  Kulina x Sayur Box  Lunch
add_to_cart,1FA401B9286441CFB640EDFF142609D4,1498,Salad by  Kulina x Sayur Box  Lunch
add_to_cart,1FA401B9286441CFB640EDFF142609D4,1498,Salad by  Kulina x Sayur Box  Lunch
add_to_cart,1FA401B9286441CFB640EDFF142609D4,1498,Salad by  Kulina x Sayur Box  Lunch
select_item,230E61691FF24BDC94FAEDC11A90BC12,283,salad dan rujak buah menir
select_item,2F093584D4084D16932544798EC94E5F,931,The Soy Story
select_item,36C08928A3034501845CC05D83639E85,13245,Nasi Dori Sambal Matah
select_item,36C08928A3034501845CC05D83639E85,11422,Nasi Ayam Serundeng
add_to_wishlist,36C08928A3034501845CC05D83639E85,13245,Nasi Dori Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,13245,Nasi Dori Sambal Matah
select_item,36C08928A3034501845CC05D83639E85,381,Fish and Chips
add_to_wishlist,36C08928A3034501845CC05D83639E85,381,Fish and Chips
add_to_wishlist,36C08928A3034501845CC05D83639E85,381,Fish and Chips
select_item,36C08928A3034501845CC05D83639E85,1893,Spaghetti with Chicken and Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,1893,Spaghetti with Chicken and Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,1893,Spaghetti with Chicken and Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,1893,Spaghetti with Chicken and Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,1893,Spaghetti with Chicken and Sambal Matah
select_item,36C08928A3034501845CC05D83639E85,12289,Crispy Blackpepper Chicken
select_item,36C08928A3034501845CC05D83639E85,11925,Bistik Jamur
select_item,36C08928A3034501845CC05D83639E85,11621,Buritto Chicken Fajita
add_to_wishlist,36C08928A3034501845CC05D83639E85,11621,Buritto Chicken Fajita
select_item,36C08928A3034501845CC05D83639E85,12123,Salad Wrap with Fried Chicken
select_item,36C08928A3034501845CC05D83639E85,1811,Penne-Pasta Chicken Pesto
add_to_wishlist,36C08928A3034501845CC05D83639E85,1811,Penne-Pasta Chicken Pesto
add_to_wishlist,36C08928A3034501845CC05D83639E85,1811,Penne-Pasta Chicken Pesto
select_item,36C08928A3034501845CC05D83639E85,1419,Fit Burger
add_to_wishlist,36C08928A3034501845CC05D83639E85,1419,Fit Burger
add_to_wishlist,36C08928A3034501845CC05D83639E85,1419,Fit Burger
select_item,36C08928A3034501845CC05D83639E85,1419,Fit Burger
select_item,36C08928A3034501845CC05D83639E85,7790,Nasi Ayam Bakar dan Bakwan Jagung
add_to_wishlist,36C08928A3034501845CC05D83639E85,7790,Nasi Ayam Bakar dan Bakwan Jagung
add_to_wishlist,36C08928A3034501845CC05D83639E85,7790,Nasi Ayam Bakar dan Bakwan Jagung
select_item,36C08928A3034501845CC05D83639E85,6533,Nasi Liwet pickmeals
select_item,36C08928A3034501845CC05D83639E85,881,Nasi Rames Rendang ala Dapur Jakarta
select_item,36C08928A3034501845CC05D83639E85,1330,Ayam Cabai Garam
select_item,36C08928A3034501845CC05D83639E85,695,Nasi Bistik Ayam
select_item,36C08928A3034501845CC05D83639E85,13245,Nasi Dori Sambal Matah
select_item,36C08928A3034501845CC05D83639E85,13289,Crispy Chicken Teriyaki
select_item,36C08928A3034501845CC05D83639E85,13381,Nasi Ayam Saus Telur Asin
select_item,36C08928A3034501845CC05D83639E85,5526,"Spaghetti Bolognese, Honey Glazed Chicken & Salad"
select_item,36C08928A3034501845CC05D83639E85,1193,Dory Spaghetti Sambal Matah
